county,public_acres,parcel_count
adams,118633.6803,6149
alamosa,17360.7774642421,0
arapahoe,535.874808900586,4687
archuleta,615234.9551796904,388
baca,92270.74489116942,0
bent,829.629204011,0
boulder,12248.660372105996,5370
broomfield,5482.638,1214
chaffee,60.95605825564,0
cheyenne,6112.867961487255,0
clear creek,29276.853,1727
costilla,1125.81694776,0
custer,646.8201670507,0
delta,182510.96358064943,610
denver,949.25160040782,7184
dolores,54770.07,105
douglas,208863.4774,7402
eagle,158297.34956111645,0
el paso,10208626.0,6659
elbert,160870.403,605
fremont,489.85524268055,0
garfield,49454.82958128,760
gilpin,15794.847,799
grand,1273002.7120861744,1268
gunnison,1319597.6983704169,0
huerfano,36501.71,635
jackson,4184.528629423768,0
jefferson,556843.2639,5839
kiowa,1407.3347493826,0
lake,29115.55,909
laplata,689460.027,1366
larimer,,6583
las animas,82.7012094005,0
lincoln,912.32396200244,0
logan,174494.8133,759
mesa,1022660.00486203,2916
mineral,37291.05855412637,0
moffat,51.59275143599,897
montezuma,21920.879,498
montrose,148.296314438181,0
morgan,27200.6634530236,715
otero,6.687263747979,0
ouray,13705.648367918222,1071
park,981382.43700769,943
phillips,504.051571823269,0
pitkin,17263.32515083268,681
pueblo,36249.25751641667,5110
rio blanco,2832983.0,150
rio grande,,427
routt,754545.2000000001,1000
saguache,5154.623102489,0
san juan,1430267.184740313,26
san miguel,531784.1761180809,649
sedgwick,28694.52,156
summit,1514.7606799925445,0
teller,373.2810868606,0
washington,58.574840612989995,0
weld,216717.09137014512,4855
yuma,64246.7824,705
